

//
// Armor techs
// 
ARMOR_0_NAME     | 钛装甲
FUTUREWEAPON_6_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_7_NAME    | Future Weapon VIII
FUTUREWEAPON_7_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_8_NAME    | Future Weapon IX
FUTUREWEAPON_8_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_9_NAME    | Future Weapon X
FUTUREWEAPON_9_DETAIL  | General Improvements in Weapon Technology. 


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Hand Lasers
HANDWEAPON_1_DETAIL    | Personal lasers that add 5 to your ground combat rolls.

HANDWEAPON_2_NAME      | Ion Rifle
HANDWEAPON_2_DETAIL    | Personal beam weapons that add 10 points to your ground attacks.

HANDWEAPON_3_NAME      | Fusion Rifle
HANDWEAPON_3_DETAIL    | Inaccurate but incredibly powerful beam weapons that add 20 points to your ground combat rolls.

HANDWEAPON_4_NAME      | Hand Phasor
HANDWEAPON_4_DETAIL    | Potent hand-held energy weapons capable of reducing an opponent to his component atoms. Adds 25 to your ground combat rolls.

HANDWEAPON_5_NAME      | Plasma Rifle
HANDWEAPON_5_DETAIL    | The most devastating hand-held weapon available. Adds 30 to your ground attacks.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Hyperspace Communications
HYPERSPACE_0_DETAIL    | Allows you to communicate with ship fleets in hyperspace, and change their destinations while en route.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Improved Industrial Tech 9
IMPRINDUSTRY_0_DETAIL   | Reduces factory construction costs to 9 BC each.

IMPRINDUSTRY_1_NAME     | Improved Industrial Tech 8
IMPRINDUSTRY_1_DETAIL   | Reduces factory construction costs to 8 BC each.

IMPRINDUSTRY_2_NAME     | Improved Industrial Tech 7
IMPRINDUSTRY_2_DETAIL   | Reduces factory construction costs to 7 BC each.

IMPRINDUSTRY_3_NAME     | Improved Industrial Tech 6
IMPRINDUSTRY_3_DETAIL   | Reduces factory construction costs to 6 BC each.

IMPRINDUSTRY_4_NAME     | Improved Industrial Tech 5
IMPRINDUSTRY_4_DETAIL   | Reduces factory construction costs to 5 BC each.

IMPRINDUSTRY_5_NAME     | Improved Industrial Tech 4
IMPRINDUSTRY_5_DETAIL   | Reduces factory construction costs to 4 BC each.

IMPRINDUSTRY_6_NAME     | Improved Industrial Tech 3
IMPRINDUSTRY_6_DETAIL   | Reduces factory construction costs to 3 BC each.

IMPRINDUSTRY_7_NAME     | Improved Industrial Tech 2
IMPRINDUSTRY_7_DETAIL   | Reduces factory construction costs to 2 BC each.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Improved Terraforming +10
IMPRTFORM_0_DETAIL      | Increases the population capacity of planets by 10M for a cost of 5 BC per million.

IMPRTFORM_1_NAME        | Improved Terraforming +20
IMPRTFORM_1_DETAIL      | Increases the population capacity of planets by 20M for a cost of 5 BC per million.

IMPRTFORM_2_NAME        | Improved Terraforming +30
IMPRTFORM_2_DETAIL      | Increases the population capacity of planets by 30M for a cost of 4 BC per million.

IMPRTFORM_3_NAME        | Improved Terraforming +40
IMPRTFORM_3_DETAIL      | Increases the population capacity of planets by 40M for a cost of 4 BC per million.

IMPRTFORM_4_NAME        | Improved Terraforming +50
IMPRTFORM_4_DETAIL      | Increases the population capacity of planets by 50M for a cost of 3 BC per million.

IMPRTFORM_5_NAME        | Improved Terraforming +60
IMPRTFORM_5_DETAIL      | Increases the population capacity of planets by 60M for a cost of 3 BC per million.

IMPRTFORM_6_NAME        | Improved Terraforming +80
IMPRTFORM_6_DETAIL      | Increases the population capacity of planets by 80M for a cost of 2 BC per million.

IMPRTFORM_7_NAME        | Improved Terraforming +100
IMPRTFORM_7_DETAIL      | Increases the population capacity of planets by 100M for a cost of 2 BC per million.

IMPRTFORM_8_NAME        | Complete Terraforming
IMPRTFORM_8_DETAIL      | Increases the population capacity of planets by 120M for a cost of 2 BC per million.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Reduced Industrial Waste 80%
INDWASTE_0_DETAIL       | Decreases factory pollution levels to 80% of the normal rate.

INDWASTE_1_NAME         | Reduced Industrial Waste 60%
INDWASTE_1_DETAIL       | Decreases factory pollution levels to 60% of the normal rate.

INDWASTE_2_NAME         | Reduced Industrial Waste 40%
INDWASTE_2_DETAIL       | Decreases factory pollution levels to 40% of the normal rate.

INDWASTE_3_NAME         | Reduced Industrial Waste 20%
INDWASTE_3_DETAIL       | Decreases factory pollution levels to 20% of the normal rate.

INDWASTE_4_NAME         | Industrial Waste Elimination
INDWASTE_4_DETAIL       | Factories cease to pollute.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Anti-Missile Rockets
MISSDEF_0_BRIEF     | 40% chance missiles destroyed
MISSDEF_0_DETAIL    | Trans-light rockets capable of destroying incoming enemy missiles 40% of the time, -1% per technology level of the missile.

MISSDEF_1_NAME      | Zyro Shield
MISSDEF_1_BRIEF     | 75% chance missiles destroyed
MISSDEF_1_DETAIL    | An energy field that destroys incoming enemy missiles and torpedoes 75% of the time, -1% per technology level of the missile.

MISSDEF_2_NAME      | Lightning Shield
MISSDEF_2_BRIEF     | 100% chance missiles destroyed
MISSDEF_2_DETAIL    | An energy field that destroys incoming enemy missiles and torpedoes 100% of the time, -1% per technology level of the missile.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Nuclear Missile
MISSWPN_0_BRIEF     | 2 shots, +1 speed
MISSWPN_0_BRIEF2    | 5 shots
MISSWPN_0_DETAIL    | Missiles tipped with nuclear warheads that explode for 4 points of damage and move at a speed of 2.

MISSWPN_1_NAME      | Hyper-V Rockets
MISSWPN_1_BRIEF     | 2 shots, +1 speed
MISSWPN_1_BRIEF2    | 5 shots
MISSWPN_1_DETAIL    | Swift missiles that explode for 6 points of damage and move at a speed of 2.5.

MISSWPN_2_NAME      | Hyper-X Rockets
MISSWPN_2_BRIEF     | 2 shots, +1 to hit
MISSWPN_2_BRIEF2    | 5 shots, +1 to hit
MISSWPN_2_DETAIL    | Missiles equipped with high energy warheads that explode for 8 points of damage, move at a speed of 2.5, and are controlled by a +1 level targeting computer.

MISSWPN_3_NAME      | Scatter Pack V Rockets
MISSWPN_3_BRIEF     | 2 shots, +1 speed
MISSWPN_3_BRIEF2    | 5 shots
MISSWPN_3_DETAIL    | Mirv versions of Hyper-V Rockets, splitting into five separate warheads that each explode for 6 points of damage and move at a speed of 2.5.

MISSWPN_4_NAME      | Merculite Missiles
MISSWPN_4_BRIEF     | 2 shots, +2 to hit
MISSWPN_4_BRIEF2    | 5 shots, +2 to hit
MISSWPN_4_DETAIL    | Hard-hitting, swift missiles that explode for 10 points of damage, move at a speed of 3, and are controlled by a +2 targeting computer.

MISSWPN_5_NAME      | Stinger Missiles
MISSWPN_5_BRIEF     | 2 shots, +3 to hit
MISSWPN_5_BRIEF2    | 5 shots, +3 to hit
MISSWPN_5_DETAIL    | Slow, hyper-accurate missiles to do 15 points of damage, move at a speed of 3.5, and are controlled by a sophisticated +3 targeting computer.

MISSWPN_6_NAME      | Scatter Pack VII Missiles
MISSWPN_6_BRIEF     | 2 shots, MIRVS to 7
MISSWPN_6_BRIEF2    | 5 shots, MIRVS to 7
MISSWPN_6_DETAIL    | MIRV versions of Hyper-X Rockets, splitting into 7 separate warheads that each explode for 10 points of damage, move at a speed of 3, and are guided by a +2 targeting computer.

MISSWPN_7_NAME      | Pulson Missiles
MISSWPN_7_BRIEF     | 2 shots, +4 to hit
MISSWPN_7_BRIEF2    | 5 shots, +4 to hit
MISSWPN_7_DETAIL    | Powerful missiles equipped with anti-matter warheads that explode for 20 points of damage, move at speed 4, and are controlled by a +4 targeting computer.

MISSWPN_8_NAME      | Hercular Missiles
MISSWPN_8_BRIEF     | 2 shots, +5 to hit
MISSWPN_8_BRIEF2    | 5 shots, +5 to hit
MISSWPN_8_DETAIL    | Highly advanced missile that explodes for 25 points of damage. The hercular missiles moves at speed 4.5 and is controlled by a +5 targeting computer.

MISSWPN_9_NAME      | Zeon Missiles
MISSWPN_9_BRIEF     | 2 shots, +6 to hit
MISSWPN_9_BRIEF2    | 5 shots, +6 to hit
MISSWPN_9_DETAIL    | Most advanced missile available. Capable of striking enemy ships for 30 points of damage and moving at a speed of 5. The missile is guided by a +6 targeting computer.

MISSWPN_10_NAME      | Scatter Pack X Missiles
MISSWPN_10_BRIEF     | 2 shots, MIRVS to 10
MISSWPN_10_BRIEF2    | 5 shots, MIRVS to 10
MISSWPN_10_DETAIL    | MIRV versions of Stinger Missiles, splitting into 10 separate warheads that each explode for 15 points of damage, move at speed 3.5, and are guided by a +3 targeting computer.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Personal Deflector Shield
PERSSHIELD_1_DETAIL   | Protects individuals ground troops with a directional force field. Adds +10 to all ground combat battles.

PERSSHIELD_2_NAME     | Personal Absorption Shield
PERSSHIELD_2_DETAIL   | Absorbs damage from all hand weapons. Adds +20 to all ground combat battles.

PERSSHIELD_3_NAME     | Personal Barrier Shield
PERSSHIELD_3_DETAIL   | Completely encases the soldier in a nearly impenetrable force field. Adds +30 to all ground combat rolls.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Class V Planetary Shields
PLANETSHIELD_0_DETAIL  | Absorbs 5 points of damage from all attacks against planet surfaces, adding to missile base deflector shields.

PLANETSHIELD_1_NAME    | Class X Planetary Shields
PLANETSHIELD_1_DETAIL  | Absorbs 10 points of damage from all attacks against planet surfaces, adding to missile base deflector shields.

PLANETSHIELD_2_NAME    | Class XV Planetary Shields
PLANETSHIELD_2_DETAIL  | Absorbs 15 points of damage from all attacks against planet surfaces, adding to missile base deflector shields.

PLANETSHIELD_3_NAME    | Class XX Planetary Shields
PLANETSHIELD_3_DETAIL  | Absorbs 20 points of damage from all attacks against planet surfaces, adding to missile base deflector shields.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Repulsor Beam
REPULSOR_0_BRIEF   | Moves enemy ships back 1 space
REPULSOR_0_DETAIL  | Repels enemy ships back one space away from the defending ship. This special weapon has a one-space range.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Reserve Fuel Tanks
RSRVFUEL_0_BRIEF   | Extends Ship Range by %1 light-years
RSRVFUEL_0_DETAIL  | Reserve Fuel Tanks increase a ship's range.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Improved Robotic Controls III
ROBOTCTRL_0_DETAIL   | Allows 3 factories to be operated per population. The refit cost to upgrade is half the standard cost of each factory.

ROBOTCTRL_1_NAME     | Improved Robotic Controls IV
ROBOTCTRL_1_DETAIL   | Allows 4 factories to be operated per population. The refit cost to upgrade is the standard cost of each factory.

ROBOTCTRL_2_NAME     | Improved Robotic Controls V
ROBOTCTRL_2_DETAIL   | Allows 5 factories to be operated per population. The refit cost to upgrade is one and a half time the standard cost of each factory.

ROBOTCTRL_3_NAME     | Improved Robotic Controls VI
ROBOTCTRL_3_DETAIL   | Allows 6 factories to be operated per population. The refit cost to upgrade is twice the standard cost of each factory.

ROBOTCTRL_4_NAME     | Improved Robotic Controls VII
ROBOTCTRL_4_DETAIL   | Allows 7 factories to be operated per population. The refit cost to upgrade is 2.5 times the standard cost of each factory.


//
// Scanner techs 
//
SCANNER_0_NAME       | Battle Scanner
SCANNER_0_BRIEF      | Scans enemy ships in combat
SCANNER_0_DETAIL     | Reveals technical specifications of enemy spacecraft in combat.

SCANNER_1_NAME       | Deep Space Scanner
SCANNER_1_BRIEF      | Detects ships up to 5 light-years away
SCANNER_1_DETAIL     | Detects enemy ships up to 5 light-years away from your colonies and 1 light-year away from your ships.

SCANNER_2_NAME       | Improved Space Scanner
SCANNER_2_BRIEF      | Detects ships and destinations up to 7 light-years away
SCANNER_2_DETAIL     | Detects enemy ships up to 7 light-years away from your colonies and 2 light-years away from your ships. Enemy destinations can be determined.

SCANNER_3_NAME       | Advanced Space Scanner
SCANNER_3_BRIEF      | Allows exploration of planets up to 9 light-years away 
SCANNER_3_DETAIL     | Allows exploration of planets from colony bases up to 9 light-years away and detects enemy ships up to 3 light-years away from your ships. 


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Inertial Stabilizer
SHIPINERTIAL_0_BRIEF    | Adds +2 to maneuverability
SHIPINERTIAL_0_DETAIL   | Reduces the inertia of ships, adding 2 classes of maneuverability in combat (+2 defense and +1 combat speed).

SHIPINERTIAL_1_NAME     | Inertial Nullifier
SHIPINERTIAL_1_BRIEF    | Adds +4 to maneuverability
SHIPINERTIAL_1_DETAIL   | Negates the inertia of ships, adding 4 classes of maneuverability in combat. Also reduces the effect of Black Hole attacks by -30%.


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Technology Nullifier
SHIPNULLIFIER_0_BRIEF    | Destroys enemy computers
SHIPNULLIFIER_0_DETAIL   | Scrambles enemy Battle Computers and ECM, reducing them from 2-6 levels per attack. Its range exceeds most ship weapons.

SHIPNULLIFIER_1_NAME     | Warp Dissipator
SHIPNULLIFIER_1_BRIEF    | Reduces speed of enemy ships
SHIPNULLIFIER_1_DETAIL   | Warp Dissipators are long-range weapons that disrupt enemy starship engines, reducing their speed with each attack.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Heavy Laser
SHIPWPN_0_DETAIL       | Direct-fire beam weapon that inflicts 1-4 points of damage. Heavy lasers have a two space range and do 1-7 points of damage.

SHIPWPN_1_NAME         | Gatling Laser
SHIPWPN_1_BRIEF        | Fires 4 times/turn
SHIPWPN_1_DETAIL       | An advanced laser that fires up to four times per turn for 1-4 points of damage with each hit.

SHIPWPN_2_NAME         | Neutron Pellet Gun
SHIPWPN_2_BRIEF        | Halves Shield Strength
SHIPWPN_2_DETAIL       | Heavy particle stream weapon that halves the effectiveness of enemy deflector shields and inflicts 2 to 5 points of damage.

SHIPWPN_3_NAME         | Ion Cannon
SHIPWPN_3_ITEM2        | Heavy Ion Cannon
SHIPWPN_3_DETAIL       | High intensity beam weapons capable of inflicting 3-8 points of damage. Heavy ion cannons strike for 3-15 and have a two space range.

SHIPWPN_4_NAME         | Mass Driver
SHIPWPN_4_BRIEF        | Halves Shield Strength
SHIPWPN_4_DETAIL       | A linear accelerator that halves the effectiveness of enemy deflector shields and inflicts 5-8 points of damage.

SHIPWPN_5_NAME         | Neutron Blaster
SHIPWPN_5_ITEM2        | Heavy Neutron Blaster
SHIPWPN_5_DETAIL       | High powered beam weapons capable of inflicting 3-12 points of damage. Heavy neutron blasters strike for 3-24 points and have a 2 space range.

SHIPWPN_6_NAME         | Graviton Beam
SHIPWPN_6_BRIEF        | Streaming Attack
SHIPWPN_6_DETAIL       | Tractor-repulsor beam capable of rendering ships to pieces. It strikes for 1-15 points damage, and the continuous streaming effect allows excess damage to carry over to other ships.

SHIPWPN_7_NAME         | Hard Beam
SHIPWPN_7_BRIEF        | Halves Shield Strength
SHIPWPN_7_DETAIL       | An energy-to-matter beam weapon that halves the effectiveness of enemy deflector shields, and inflicts 8-12 points of damage.

SHIPWPN_8_NAME         | Fusion Beam
SHIPWPN_8_ITEM2        | Heavy Fusion Beam
SHIPWPN_8_DETAIL       | High intensity beam weapon capable of doing 4-16 points of damage. Heavy fusion beams strike for 4-30 points and have a 2 space range.

SHIPWPN_9_NAME         | Megabolt Cannon
SHIPWPN_9_BRIEF        | +3 levels to hit
SHIPWPN_9_DETAIL       | Releases multiple bolts of pure energy in a wide field. It has a +30% bonus chance to hit and strikes for 2-20 points of damage.

SHIPWPN_10_NAME        | Phasor
SHIPWPN_10_ITEM2       | Heavy Phasor
SHIPWPN_10_DETAIL      | Phased-energy beams capable of inflicting 5 to 20 points of damage. Heavy phasors strike for 5-40 points of damage and have a two-space range.

SHIPWPN_11_NAME        | Auto Blaster
SHIPWPN_11_BRIEF       | Fires 3 times/turn
SHIPWPN_11_DETAIL      | An advanced neutron blaster that fires up to three times per turn for 4-16 points of damage per hit.

SHIPWPN_12_NAME        | Tachyon Beam
SHIPWPN_12_BRIEF       | Streaming Attack
SHIPWPN_12_DETAIL      | Fires an intense stream of tachyon particles that strike enemy ships for 1-25 hits. The continuous streaming effect allows excess damage to carry over to other ships.

SHIPWPN_13_NAME        | Gauss Autocannon
SHIPWPN_13_BRIEF       | 1/2 Shields, Fires 4x
SHIPWPN_13_DETAIL      | An advanced linear accelerator capable of firing 4 explosive rounds per turn that inflict 7 to 10 points of damage each. These projectile rounds also halve the effectiveness of enemy shields.

SHIPWPN_14_NAME        | Particle Beam
SHIPWPN_14_BRIEF       | Halves Shield Strength
SHIPWPN_14_DETAIL      | High intensity particle accelerators capable of striking enemy ships for 10-20 points of damage and halving the effectiveness of deflector shields.

SHIPWPN_15_NAME        | Plasma Cannon
SHIPWPN_15_DETAIL      | Fires intense bolts of energy that inflict 6-30 points of damage at a range of 1.

SHIPWPN_16_NAME        | Death Ray
SHIPWPN_16_DETAIL      | An ancient weapon of unbelievably destructive power that inflicts 200-1000 points of damage and has a one-space range.

SHIPWPN_17_NAME        | Disruptor
SHIPWPN_17_DETAIL      | Unleashes tremendous bolts of pure energy that can strike enemy targets up to two spaces away for 10-40 points of damage.

SHIPWPN_18_NAME        | Pulse Phasor
SHIPWPN_18_BRIEF       | Fires 3 times/turn
SHIPWPN_18_DETAIL      | An advanced phasor capable of firing 3 burst per turn for 5-20 points of damage with each hit.

SHIPWPN_19_NAME        | Tri-Focus Plasma Cannon
SHIPWPN_19_DETAIL      | Fires a triad of high-intensity plasma beams capable of inflicting 20 to 50 points of damage.

SHIPWPN_20_NAME        | Stellar Converter
SHIPWPN_20_BRIEF       | Hits All Four Shields
SHIPWPN_20_DETAIL      | Surrounds the target with an extremely powerful matter-energy conversion field, inflicting four 10 to 35-point attacks. It has a range of 3 spaces.

SHIPWPN_21_NAME        | Mauler Device
SHIPWPN_21_DETAIL      | Unleashes enormous amounts of focused energy at enemy targets, inflicting 20-100 points of damage.

SHIPWPN_22_NAME        | The Amoeba Stream
SHIPWPN_22_DETAIL      | A stream that does 250-1000 points of damage and has a range of 3 spaces. Its continuous streaming effect allows it to carry damage over from one ship to another.

SHIPWPN_23_NAME        | The Crystal Ray
SHIPWPN_23_DETAIL      | A beam that surrounds a target's shields, delivering 4 attacks for 100-300 points of damage each. It has a range of 3 spaces.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Soil Enrichment
SOILENRICH_0_DETAIL   | Converts standard planets to fertile enviroments, increasing population growth by 50% and raising the base planetary size by +25% for a one-time cost of 150 BC.

SOILENRICH_1_NAME     | Advanced Soil Enrichment
SOILENRICH_1_DETAIL   | Converts standard and fertile planets to gaias, doubling the population growth and increasing the planet's base size by +50% for a one-time cost of 300 BC.


//
// Stargate tech
//
STARGATE_0_NAME      | Intergalactic Star Gates
STARGATE_0_DETAIL    | Allows your ships to move between any two planets equipped with star gates in only one turn. Cost 3000 BC to build.


//
// Stasis Field tech
//
STASIS_0_NAME      | Stasis Field
STASIS_0_BRIEF     | Enemy frozen for 1 turn
STASIS_0_DETAIL    | Freezes one group of enemy ships, up to one space away, for one turn. Frozen ships cannot attack or be attacked.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Ion Stream Projector
STREAMWPN_0_BRIEF   | Reduces enemy armor by 20%
STREAMWPN_0_DETAIL  | Fires an intense ionic blast, reducing the armor of every target in the opponent's group by 20% plus 1% per 2 firing ships, up to a maximum of 50% of its starting hit points per attack.

STREAMWPN_1_NAME    | Neutron Stream Projector
STREAMWPN_1_BRIEF   | Reduces enemy armor by 40%
STREAMWPN_1_DETAIL  | Fires a blast of concentrated neutrinos, reducing the armor of every target in the opposing group by 40% plus 1% per firing ship, up to a maximum of 75% of its hit points per attack.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Sub-Space Interdictor
SUBSPACEINT_0_DETAIL  | Prevents the use of enemy sub-space teleporters and combat transporters. The device is automatically added to missile bases.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Sub-Space Teleporter
SUBSPACETEL_0_BRIEF   | Teleports ship in combat
SUBSPACETEL_0_DETAIL  | Teleports ships to any space on the combat map and before determining combat initiative normally.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Anti-Matter Torpedos
TORPEDO_0_BRIEF       | Fires one per 2 turns
TORPEDO_0_DETAIL      | High energy tracking torpedoes that deliver 30 points of damage but may only be fired every other turn. Each torpedo is equipped with a +4 level targeting computer.

TORPEDO_1_NAME        | Hellfire Torpedoes
TORPEDO_1_BRIEF       | Hits all four shields
TORPEDO_1_DETAIL      | Enveloping energy torpedoes that simultaneously strike all shields. They move at speed 5, are guided by a +6 level targeting computer, delivering damage equal to four 25-point attacks.

TORPEDO_2_NAME        | Proton Torpedoes
TORPEDO_2_BRIEF       | Fires one per 2 turns
TORPEDO_2_DETAIL      | High-yield energy torpedoes that deliver 75 points of damage but may be fired only every other turn. Each torpedo is equipped with a +6 level targeting computer.

TORPEDO_3_NAME        | Plasma Torpedoes
TORPEDO_3_BRIEF       | Loses 15 damage/hex
TORPEDO_3_DETAIL      | Pure energy torpedoes that deliver 150 points of damage and move at speed 6, but loses 15 damage per space traveled. The launcher fires every other turn and has a +7 guidance computer.

